m/z,z,I,Res.
56.29863,,1240394,914779
56.30019,,1164421,662156
56.30084,,1238908,922778
56.30137,,1140713,1095416
56.30332,,1338959,941294
56.30449,,1148138,1546260
56.3048,,1202883,1125692
56.30534,,1340165,911953
56.30691,,1419836,903562
56.31862,,1185583,1087149
56.3198,,1180570,1367792
56.3199,,1139053,1392362
56.32259,,1158369,1095885
56.32355,,1172042,734065
56.3259,,1209721,1429890
56.33482,,1298847,1363343
56.33614,,1183690,1611882
56.33684,,1245201,1253795
56.33719,,1198484,1113228
56.33866,,1309193,1196854
56.341,,1221532,970865
56.34199,,1235023,1113908
56.34526,,1367085,764031
56.34575,,1529418,736700
56.34652,,1215216,1276753
56.34761,,1393219,1461021
56.35037,,1159983,936227
56.35082,,1140732,1584632
56.35096,,1167323,1240864
56.35188,,1218513,978752
56.35767,,1488856,1223959
56.35981,,1311794,817627
56.36014,,1337189,1352621
56.36126,,1158085,1160528
56.36156,,1455463,854309
56.36205,,1242676,1388915
56.36348,,1158899,855088
56.36457,,1349970,818892
56.36557,,1257588,931936
56.36599,,1228264,1219489
56.36613,,1166563,1388711
56.37114,,1206957,1454066
56.37193,,1160001,1072937
56.37406,,1516876,1080746
56.37716,,1198535,1221370
56.37993,,1292112,943410
56.38061,,1137994,1163670
56.38146,,1213370,1077327
56.3815,,1220695,1144145
56.38291,,1134991,1204282
56.38387,,1350696,1005540
56.38455,,1227190,1448417
56.38576,,1156296,892500
56.38807,,1195942,947715
56.38931,,1190730,973679
56.3911,,1395327,694645
56.39245,,1238929,1035359
56.39672,,1369512,1303791
56.39988,,1359743,1257236
56.40329,,1234136,1221805
56.40418,,1173292,1029092
56.40689,,1454769,904827
56.40751,,1294286,1202387
56.40783,,1310463,985760
56.40839,,1192769,1436318
56.40865,,1371631,1155351
56.41083,,1387255,1236133
56.41133,,1141377,1162721
56.41256,,1256993,1314706
56.41301,,1258430,849373
56.41347,,1286529,1076185
56.41859,,1197438,1165926
56.41882,,1291874,902957
56.42026,,1192869,1278844
56.42106,,1604060,785570
56.42723,,1279158,1206516
56.4276,,1344783,981597
56.42851,,1153138,1300963
56.42866,,1141973,1204558
56.43084,,1227669,908858
56.43332,,1313884,1301918
56.43575,,1339602,954070
56.43902,,1135440,1403538
56.43916,,1473780,828163
56.44093,,1188104,925227
56.44166,,1176249,829722
56.4417,,1379911,696955
56.44273,,1381895,1335790
56.44447,,1155881,1410022
56.44568,,1236825,1453180
56.44634,,1497002,1323011
56.44809,,1245883,1296897
56.44819,,1221955,1320902
56.45265,,1329926,892924
56.45396,,1272260,875655
56.45806,,1270638,1608668
56.46041,,1304610,1038525
56.47044,,1338113,1025313
56.4706,,1166641,990070
56.47281,,1312101,956022
56.47417,,1198726,1480254
56.47475,,1161331,763851
56.47504,,1436725,937743
56.48323,,1291664,1316112
56.48386,,1376394,981679
56.48609,,1376441,1154884
56.49282,,5917475,942894
56.49289,,3939079,817676
56.49295,,12959067,1036307
56.493,,17074746,666072
56.49313,,12711259,699068
56.49319,,14120171,818370
56.49327,,15652771,662831
56.49335,,3523915,945390
56.4947,,1312575,964454
56.49521,,1440073,796814
56.49674,,1509249,1194357
56.49796,,1381603,1087622
56.50038,,1476946,674143
56.50492,,1255835,893420
56.50938,,1135446,941181
56.50988,,1478437,885407
56.51103,,1489721,1079474
56.51273,,1221701,953301
56.51318,,1212049,1183212
56.51396,,1377819,1068977
56.51428,,1148843,1158630
56.51542,,1136692,1517727
56.5172,,1244522,1418964
56.51918,,1299051,1143383
56.52157,,1529960,762740
56.52357,,1164107,1306832
56.52623,,1228444,1106237
56.5274,,1335034,1189741
56.53134,,1145864,1063160
56.53373,,1174770,1052108
56.53506,,1366362,1228539
56.53743,,1305642,1229589
56.545,,1513375,1050884
56.54608,,1501281,903669
56.54754,,1733404,992336
56.5494,,1214471,1379680
56.55037,,1223009,953212
56.55081,,1166882,1389589
56.5531,,1188006,1109376
56.55383,,1309050,1155954
56.56174,,1139883,943813
56.56675,,1227054,689302
56.56678,,1230250,375164
56.56959,,1184653,721505
56.57148,,1241824,915746
56.57215,,1230448,792359
56.5787,,1140684,1544151
56.57908,,1132875,1337228
56.58184,,1137896,1208393
56.5831,,1196443,1469428
56.58576,,1175390,1152548
56.58592,,1290247,1435043
56.5875,,1263255,1114774
56.58819,,1143188,1344777
56.59218,,1134989,1294039
56.59239,,1258368,809875
56.59391,,1485429,1123547
56.5947,,1340836,1033687
56.59536,,1275684,970326
56.60106,,1180315,775535
56.60684,,1182992,1387941
56.60804,,1345604,858938
56.6092,,1156090,1354057
56.61352,,1576482,597208
56.6173,,1465289,884473
56.61735,,1504511,719143
56.61797,,1169337,1298443
56.62023,,1262913,943180
56.6213,,1201132,892829
56.62216,,1150423,1167287
56.62243,,1185519,1465907
56.62382,,1134136,1180369
56.62695,,1152694,1243246
56.62821,,1261197,1176139
56.62841,,1503441,819390
56.62972,,1138987,1331271
56.63036,,1338507,895614
56.63159,,1256465,1279289
56.63463,,1140565,1298506
56.63886,,1150522,1136485
56.63907,,1132855,696617
56.64327,,1201211,999867
56.64386,,1286533,1346388
56.64416,,1139252,1110199
56.64741,,1227268,1253130
56.6504,,1200800,827433
56.65257,,1295262,1179456
56.65316,,1202794,1366240
56.65348,,3610693,909363
56.6536,,4695021,635057
56.65364,,4204201,1123695
56.65378,,6460957,996554
56.65385,,1891800,811227
56.65397,,3802569,1159446
56.65409,,6520353,808677
56.65423,,4615801,818793
56.65604,,1169917,1229804
56.65858,,1381135,1240848
56.66032,,1259019,1003374
56.66082,,1197151,1646116
56.66244,,1453113,975818
56.66264,,1250160,988681
56.66479,,1162835,916756
56.66512,,1158178,1145981
56.66545,,1520815,983565
56.66639,,1193017,959916
56.67087,,1695412,1050531
56.67163,,1204522,1085673
56.67281,,1131971,943876
56.68142,,1309496,740322
56.68377,,1372939,974267
56.68538,,1273076,932494
56.68593,,1357482,1377020
