m/z,z,I,Res.
54.08839,,583366,884652
54.08885,,530006,1018000
54.08918,,451159,609437
54.08971,,514818,995612
54.0899,,674761,695067
54.09099,,911363,410385
54.09153,,444488,972417
54.09276,,545579,890813
54.09304,,455737,1557532
54.09324,,527331,961534
54.09367,,591248,796074
54.09392,,556147,927267
54.09405,,479818,1063610
54.09443,,630310,761048
54.09484,,570603,809982
54.0954,,606060,889461
54.09552,,676798,1065640
54.09607,,636831,633645
54.09661,,674930,629909
54.09694,,737451,784853
54.09739,,599222,728680
54.09768,,617339,789011
54.09817,,487866,850942
54.09842,,469149,916980
54.09855,,440732,1727559
54.09873,,537085,1108118
54.09886,,430001,1538255
54.09896,,496920,1045090
54.09938,,602355,890161
54.09981,,440167,1547307
54.10014,,524474,874591
54.1011,,706777,737707
54.10131,,772449,534770
54.10151,,669375,734030
54.10224,,464641,748115
54.10235,,579142,597192
54.10255,,566771,591598
54.10265,,491232,599301
54.10299,,582836,1367624
54.1031,,553031,1315448
54.10384,,553553,976703
54.10404,,543679,1116016
54.10483,,782945,693883
54.10493,,509063,1203935
54.10505,,685766,798772
54.10557,,673606,876016
54.10572,,574334,796774
54.10688,,421276,1939379
54.1073,,473764,1340885
54.1075,,623772,676893
54.10795,,448043,1060492
54.10817,,526475,644735
54.10918,,659185,543412
54.10953,,639998,778926
54.1097,,691018,574594
54.10997,,501795,1201234
54.11011,,465753,1315078
54.11097,,576951,730886
54.11191,,418698,1484483
54.11223,,582772,918876
54.11283,,444010,1526005
54.11295,,610708,734062
54.11308,,638485,844393
54.11354,,790693,620142
54.11374,,473381,1209766
54.11391,,448471,1620939
54.11459,,463655,1085877
54.11488,,629616,986877
54.11523,,677241,929612
54.11581,,713597,539259
54.11636,,595844,1095102
54.11665,,575053,692614
54.117,,846969,597025
54.11731,,584726,1157012
54.11744,,548486,861712
54.11859,,781430,497563
54.11892,,463716,1350516
54.11922,,524355,911268
54.11939,,631180,1013360
54.11956,,556462,1134940
54.11992,,510072,932216
54.12066,,725835,763550
54.12094,,627111,517471
54.1212,,703579,557972
54.12139,,663907,847958
54.12174,,594865,714641
54.12193,,597151,938894
54.12245,,683486,519324
54.12305,,594943,843925
54.124,,595043,469663
54.12428,,711096,457449
54.12497,,647318,794901
54.12537,,683348,543407
54.1256,,614647,787324
54.12718,,595657,1011276
54.12733,,639512,656949
54.12758,,441609,2019898
